,loc_x,loc_y,shot_made_flag,Region
139,41.4,21.9,0.0,RW
141,25.0,0.1,1.0,P
143,20.7,11.5,0.0,P
145,26.2,2.1,0.0,P
146,42.7,18.3,1.0,RE
147,35.1,23.2,0.0,RE
148,42.4,17.4,1.0,RE
149,39.0,15.4,0.0,RE
151,46.3,12.0,0.0,RB
152,34.6,11.1,0.0,RB
156,45.4,16.5,0.0,RW
157,15.4,23.2,0.0,LE
158,24.1,14.4,1.0,P
159,40.6,13.4,0.0,RB
160,14.8,2.1,0.0,LB
161,2.3000000000000007,3.1,0.0,LC
162,30.6,6.1,0.0,P
163,17.2,0.8,0.0,LB
164,4.0,13.4,0.0,LB
165,21.2,16.9,0.0,P
166,40.9,17.0,0.0,RE
167,24.3,14.4,0.0,P
171,48.2,17.4,0.0,RW
173,48.8,20.5,0.0,RW
174,47.0,10.1,0.0,RC
175,26.2,6.5,0.0,P
177,42.3,18.3,1.0,RE
178,42.9,16.4,0.0,RE
181,48.2,0.2,1.0,RC
182,31.0,11.1,0.0,P
184,8.7,22.8,0.0,LW
185,26.0,1.6,1.0,P
186,14.9,9.5,1.0,LB
187,48.3,12.1,0.0,RC
188,35.4,12.6,0.0,RB
189,27.0,11.5,1.0,P
190,26.2,1.1,0.0,P
193,39.0,19.8,0.0,RE
194,28.5,6.1,0.0,P
195,33.4,14.9,0.0,RE
197,11.3,4.6,0.0,LB
198,33.2,6.2,1.0,RB
199,29.2,6.2,0.0,P
203,44.4,15.6,1.0,RE
204,46.5,14.9,0.0,RW
205,23.8,26.7,1.0,TK
206,25.1,26.4,0.0,TK
208,24.3,27.2,0.0,TK
209,2.5,10.5,0.0,LC
212,32.1,13.4,0.0,RB
213,43.1,0.3,1.0,RB
214,30.3,18.5,0.0,P
215,40.9,0.3,0.0,RB
216,33.2,8.5,1.0,RB
217,11.7,21.4,0.0,LE
218,8.7,19.3,0.0,LE
219,38.2,1.1,0.0,RB
220,48.6,1.3,1.0,RC
221,31.3,24.7,0.0,TK
223,46.5,12.4,1.0,RB
224,17.1,26.9,1.0,T
225,34.6,26.4,0.0,RW
226,35.7,16.0,0.0,RE
229,7.699999999999999,19.8,0.0,LW
230,23.6,0.2,0.0,P
231,36.2,24.2,1.0,RW
232,25.9,25.2,0.0,TK
234,43.2,18.0,1.0,RE
235,20.5,11.1,1.0,P
236,19.2,10.0,0.0,P
237,38.2,21.8,0.0,RE
238,24.6,1.1,1.0,P
239,29.8,9.2,1.0,P
241,39.0,9.0,0.0,RB
243,38.8,12.1,0.0,RB
244,7.399999999999999,17.0,0.0,LE
245,26.5,0.2,1.0,P
246,12.1,9.7,0.0,LB
247,48.0,3.6,0.0,RC
248,20.8,6.7,0.0,P
249,10.8,3.3,0.0,LB
250,46.2,17.0,0.0,RW
251,31.9,8.0,1.0,RB
252,9.9,19.3,1.0,LE
253,22.3,21.9,0.0,TK
255,31.4,6.5,1.0,RB
256,38.2,2.6,1.0,RB
257,37.0,7.0,0.0,RB
258,37.2,1.1,0.0,RB
259,34.1,14.4,1.0,RE
261,29.8,6.1,1.0,P
262,29.2,0.2,1.0,P
263,26.0,0.3,1.0,P
264,42.9,4.6,0.0,RB
265,24.8,1.6,0.0,P
266,38.3,2.6,1.0,RB
267,18.5,10.5,1.0,LB
268,12.1,20.8,1.0,LE
269,17.4,23.9,1.0,LE
270,10.7,4.1,1.0,LB
271,6.300000000000001,2.3,1.0,LB
274,16.2,22.4,1.0,LE
275,16.2,18.8,0.0,LE
276,38.3,14.1,0.0,RE
277,26.0,0.7,1.0,P
280,33.4,7.0,1.0,RB
282,26.0,7.7,1.0,P
283,0.6999999999999993,10.0,0.0,LC
287,3.0,36.7,0.0,LW
288,26.5,0.7,0.0,P
289,7.399999999999999,18.8,0.0,LE
290,11.3,20.5,1.0,LE
292,3.8000000000000007,11.6,0.0,LB
293,23.9,25.2,0.0,TK
295,40.9,12.4,1.0,RB
298,31.9,10.6,0.0,RB
299,35.4,22.3,0.0,RE
300,9.4,0.8,1.0,LB
301,36.9,5.6,0.0,RB
302,48.3,10.0,0.0,RC
303,42.6,17.5,1.0,RE
304,28.5,24.7,0.0,TK
305,40.9,23.1,0.0,RW
306,36.4,2.5,1.0,RB
307,34.7,5.4,0.0,RB
308,8.5,12.3,0.0,LB
309,40.5,23.7,0.0,RW
310,40.5,14.6,0.0,RE
312,47.8,10.0,1.0,RC
314,38.5,21.8,0.0,RE
315,17.2,0.2,0.0,LB
316,39.3,8.0,0.0,RB
317,26.7,21.4,0.0,TK
318,6.899999999999999,16.4,1.0,LE
320,27.4,0.2,1.0,P
321,41.8,11.0,0.0,RB
322,47.5,11.0,0.0,RC
323,14.1,16.5,0.0,LE
325,23.4,1.8,0.0,P
326,33.9,23.7,0.0,RE
334,40.8,18.8,0.0,RE
335,19.4,15.9,1.0,P
336,41.3,8.5,0.0,RB
337,25.0,14.6,1.0,P
338,6.600000000000001,16.0,0.0,LE
341,29.8,5.6,0.0,P
343,31.1,7.0,0.0,RB
344,27.7,5.6,1.0,P
345,1.5,0.8,0.0,LC
347,19.8,8.0,1.0,P
349,22.8,0.3,0.0,P
350,35.1,0.2,1.0,RB
351,9.0,18.8,1.0,LE
352,15.4,22.3,0.0,LE
353,22.3,4.1,1.0,P
355,14.0,1.1,1.0,LB
356,12.1,2.1,0.0,LB
357,19.4,17.0,0.0,P
358,25.9,1.1,0.0,P
360,30.8,6.5,1.0,P
361,44.5,14.9,0.0,RE
362,39.1,6.1,1.0,RB
363,10.7,22.4,0.0,LW
364,1.1999999999999993,5.1,0.0,LC
366,44.7,14.4,1.0,RE
367,38.7,0.2,0.0,RB
368,21.8,12.0,0.0,P
369,34.6,0.8,0.0,RB
370,34.7,23.4,0.0,RE
371,3.0,12.4,1.0,LB
372,28.5,5.1,0.0,P
373,27.7,18.3,0.0,P
374,3.6000000000000014,9.7,0.0,LB
375,38.5,20.8,1.0,RE
376,4.100000000000001,19.8,0.0,LW
377,25.0,0.2,1.0,P
378,45.0,16.0,0.0,RE
379,40.9,0.2,0.0,RB
380,46.7,14.9,0.0,RW
381,23.4,10.5,0.0,P
382,44.1,8.5,0.0,RB
385,45.7,12.9,0.0,RB
386,15.9,25.7,1.0,LW
388,36.9,22.3,0.0,RE
389,9.2,31.6,0.0,LW
391,25.9,27.8,0.0,T
392,44.2,16.9,0.0,RE
393,25.1,6.7,0.0,P
394,39.0,0.2,1.0,RB
396,47.5,0.7,1.0,RC
397,23.1,27.2,1.0,TK
398,4.5,21.3,0.0,LW
399,34.7,4.3,0.0,RB
400,43.4,10.0,0.0,RB
402,23.6,29.3,0.0,T
405,12.8,3.1,0.0,LB
406,3.5,12.4,0.0,LB
407,33.7,16.9,0.0,RE
408,32.9,18.3,0.0,RE
409,24.3,25.2,0.0,TK
411,13.0,22.8,0.0,LE
412,48.0,1.8,0.0,RC
413,10.5,2.6,1.0,LB
414,24.6,9.7,0.0,P
415,6.399999999999999,17.4,0.0,LE
416,5.399999999999999,16.5,0.0,LE
418,32.9,11.5,1.0,RB
419,46.3,13.4,1.0,RB
420,36.8,4.9,0.0,RB
421,4.899999999999999,14.1,1.0,LE
422,5.899999999999999,17.4,1.0,LW
423,5.100000000000001,14.9,0.0,LE
426,32.6,14.9,0.0,RE
427,47.7,4.6,1.0,RC
428,35.7,22.8,0.0,RE
430,3.6000000000000014,12.4,0.0,LB
432,25.9,11.0,1.0,P
433,46.0,7.5,0.0,RB
434,30.3,11.5,1.0,P
436,6.699999999999999,19.3,0.0,LW
438,26.7,0.7,0.0,P
439,10.3,3.3,1.0,LB
440,34.1,26.9,0.0,RW
441,27.8,26.7,0.0,TK
442,37.3,15.4,0.0,RE
443,24.1,24.2,0.0,TK
444,40.5,2.6,0.0,RB
445,39.8,1.3,0.0,RB
446,26.9,1.1,1.0,P
449,26.5,4.6,0.0,P
450,5.800000000000001,1.1,0.0,LB
452,24.6,24.9,0.0,TK
453,35.7,23.7,1.0,RE
454,23.6,26.2,0.0,TK
455,41.9,18.0,0.0,RE
456,19.2,10.5,1.0,P
458,33.9,22.8,0.0,RE
459,13.8,22.3,1.0,LE
460,48.5,1.1,1.0,RC
461,48.6,2.3,0.0,RC
462,19.2,3.3,0.0,P
463,1.6999999999999993,6.1,1.0,LC
464,33.2,0.8,0.0,RB
466,32.6,23.7,0.0,RE
467,28.3,6.5,0.0,P
468,37.0,11.1,1.0,RB
469,5.300000000000001,6.1,0.0,LB
470,11.7,20.0,1.0,LE
471,5.100000000000001,15.4,1.0,LE
475,39.5,13.9,1.0,RB
476,20.7,20.0,0.0,TK
478,16.6,1.1,0.0,LB
480,14.0,21.4,0.0,LE
481,29.5,1.3,1.0,P
482,25.9,9.5,1.0,P
483,34.7,9.5,0.0,RB
484,38.2,21.0,1.0,RE
485,9.4,19.3,1.0,LE
486,5.100000000000001,15.4,1.0,LE
487,9.7,23.2,0.0,LW
488,25.1,0.7,1.0,P
489,42.7,9.2,0.0,RB
490,35.9,7.5,1.0,RB
491,40.9,18.3,1.0,RE
492,34.7,21.9,0.0,RE
493,43.7,16.0,0.0,RE
494,5.899999999999999,14.4,0.0,LE
495,34.7,5.6,0.0,RB
496,17.1,0.7,0.0,LB
497,25.4,11.5,1.0,P
498,17.1,22.8,0.0,LE
499,30.8,23.2,1.0,TK
500,46.8,12.0,0.0,RB
501,16.7,24.2,0.0,LE
502,37.5,21.3,1.0,RE
504,13.8,10.5,1.0,LB
505,37.7,21.8,0.0,RE
506,13.1,9.5,0.0,LB
507,16.4,22.9,0.0,LE
508,15.8,14.6,1.0,LE
509,21.8,17.8,1.0,P
510,25.4,23.2,0.0,TK
511,15.8,0.7,1.0,LB
513,20.7,9.0,0.0,P
514,13.0,10.5,1.0,LB
515,23.9,14.9,1.0,P
516,21.3,0.2,0.0,P
517,33.7,23.2,0.0,RE
518,23.9,3.8,0.0,P
519,23.6,15.9,0.0,P
520,27.5,8.7,1.0,P
522,12.6,22.9,0.0,LE
526,29.6,3.3,0.0,P
527,24.3,0.2,1.0,P
528,43.1,15.4,1.0,RE
529,20.7,26.2,0.0,TK
530,0.8999999999999986,5.7,1.0,LC
531,7.899999999999999,18.8,0.0,LE
533,11.0,21.4,0.0,LE
535,24.3,0.7,0.0,P
536,34.1,1.1,0.0,RB
537,8.5,21.4,0.0,LW
538,36.0,14.6,1.0,RE
539,4.0,17.8,1.0,LW
541,24.3,1.6,0.0,P
542,28.8,23.9,0.0,TK
544,3.3000000000000007,8.2,0.0,LB
545,27.8,7.0,0.0,P
546,41.1,5.2,1.0,RB
547,13.8,1.1,1.0,LB
548,41.4,18.3,0.0,RE
550,5.600000000000001,15.9,0.0,LE
551,40.5,14.9,1.0,RE
552,46.3,16.4,0.0,RW
553,14.1,18.8,1.0,LE
554,15.3,15.6,0.0,LE
556,27.5,10.0,1.0,P
558,32.9,15.4,0.0,RE
559,25.6,11.0,0.0,P
560,22.5,2.8,0.0,P
561,36.7,1.6,0.0,RB
563,10.5,20.3,0.0,LE
564,4.800000000000001,18.0,0.0,LW
565,4.800000000000001,16.0,0.0,LE
567,40.1,19.3,0.0,RE
569,23.6,1.1,1.0,P
571,45.9,12.4,0.0,RB
572,39.6,15.9,1.0,RE
573,38.5,0.8,0.0,RB
574,45.0,13.4,0.0,RB
577,11.7,19.0,1.0,LE
579,43.2,15.9,0.0,RE
580,29.3,17.5,1.0,P
581,23.0,12.0,0.0,P
582,25.1,8.2,1.0,P
583,11.8,21.8,0.0,LE
584,35.2,16.9,1.0,RE
585,7.100000000000001,18.0,0.0,LE
586,26.2,3.6,1.0,P
588,22.3,0.3,1.0,P
589,27.5,5.2,0.0,P
590,24.8,0.7,1.0,P
593,36.2,16.4,0.0,RE
596,10.3,19.3,0.0,LE
597,34.2,8.0,1.0,RB
598,26.4,7.0,1.0,P
599,40.0,21.3,0.0,RE
601,26.0,0.2,1.0,P
602,19.0,4.1,0.0,P
603,12.5,21.3,0.0,LE
605,23.8,21.9,1.0,TK
606,17.4,5.6,1.0,LB
607,16.9,13.5,0.0,LB
608,9.9,19.3,1.0,LE
609,39.1,23.2,1.0,RW
610,44.5,0.3,1.0,RB
611,11.5,20.8,0.0,LE
612,35.2,20.3,0.0,RE
613,24.7,1.9,0.0,P
615,38.8,11.1,0.0,RB
616,22.8,0.8,0.0,P
617,27.0,1.1,0.0,P
618,46.2,12.0,0.0,RB
619,35.7,14.9,0.0,RE
620,29.6,0.2,0.0,P
621,22.0,20.3,0.0,TK
625,31.1,4.1,0.0,RB
626,35.1,11.5,0.0,RB
627,25.0,0.1,1.0,P
629,32.6,24.2,0.0,TK
630,25.6,18.5,0.0,P
631,37.7,25.2,1.0,RW
633,2.6999999999999993,12.0,1.0,LC
634,43.9,16.5,0.0,RE
635,2.3000000000000007,10.1,0.0,LC
636,16.6,22.8,0.0,LE
637,20.8,24.2,0.0,TK
640,16.9,24.2,1.0,LE
641,6.699999999999999,13.9,0.0,LB
642,36.4,22.4,0.0,RE
644,2.5,8.2,0.0,LC
645,24.6,1.3,0.0,P
647,18.2,1.8,0.0,LB
648,45.4,15.4,0.0,RE
649,5.899999999999999,20.8,1.0,LW
650,11.2,23.7,0.0,LW
651,45.0,15.1,0.0,RE
652,10.0,22.4,0.0,LW
655,38.8,16.4,0.0,RE
656,27.7,24.9,1.0,TK
657,27.0,25.2,0.0,TK
658,36.9,22.9,1.0,RE
659,47.7,6.5,0.0,RC
663,42.3,1.1,0.0,RB
664,12.0,21.8,0.0,LE
666,17.7,23.7,0.0,TK
667,17.1,12.0,0.0,LB
668,12.8,3.8,0.0,LB
669,47.8,8.7,0.0,RC
670,34.6,14.4,1.0,RE
671,45.4,13.9,1.0,RB
672,22.0,25.4,1.0,TK
673,11.5,22.8,0.0,LW
674,33.9,0.2,0.0,RB
675,9.0,20.8,1.0,LW
676,20.0,17.4,0.0,P
677,41.6,21.8,0.0,RW
678,38.2,0.2,1.0,RB
679,29.6,8.7,0.0,P
680,11.3,22.3,0.0,LE
681,25.4,7.5,0.0,P
682,45.5,15.4,0.0,RE
684,25.0,0.1,1.0,P
685,10.3,4.6,1.0,LB
686,44.7,14.1,1.0,RE
687,23.4,0.2,0.0,P
688,43.7,17.0,1.0,RE
690,32.9,9.5,0.0,RB
692,12.0,11.1,0.0,LB
693,28.5,1.1,0.0,P
695,23.4,1.1,1.0,P
697,8.100000000000001,1.6,0.0,LB
698,10.8,21.3,0.0,LE
699,25.6,13.4,1.0,P
700,6.899999999999999,20.8,1.0,LW
701,40.8,18.8,0.0,RE
702,29.6,4.1,0.0,P
703,12.6,21.4,0.0,LE
704,15.6,1.8,1.0,LB
705,39.5,4.7,0.0,RB
706,23.0,12.0,1.0,P
707,41.1,17.8,0.0,RE
708,3.5,16.4,0.0,LW
709,3.3000000000000007,12.9,1.0,LB
710,22.1,4.6,1.0,P
715,23.8,25.9,0.0,TK
716,3.6000000000000014,5.6,1.0,LB
717,7.199999999999999,1.1,0.0,LB
718,41.6,6.5,0.0,RB
719,4.800000000000001,23.7,0.0,LW
720,21.8,15.4,1.0,P
722,22.0,8.2,1.0,P
723,6.899999999999999,18.8,0.0,LW
724,25.9,0.7,1.0,P
725,37.8,23.7,1.0,RW
726,15.1,25.9,0.0,LW
727,5.899999999999999,19.5,0.0,LW
728,30.6,10.0,0.0,P
730,24.9,1.6,1.0,P
731,25.0,0.1,1.0,P
732,30.1,0.8,1.0,P
733,38.2,17.5,1.0,RE
734,25.9,1.3,1.0,P
735,8.100000000000001,21.3,1.0,LW
736,30.1,25.2,0.0,TK
737,9.4,18.0,0.0,LE
738,38.5,15.9,0.0,RE
740,44.9,14.6,1.0,RE
741,42.1,20.5,1.0,RW
743,16.2,20.0,0.0,LE
744,45.7,15.4,0.0,RE
745,40.5,6.2,0.0,RB
746,35.7,13.4,0.0,RB
747,25.6,0.2,1.0,P
748,12.5,12.4,1.0,LB
749,6.899999999999999,18.8,1.0,LW
750,1.0,5.2,0.0,LC
752,13.0,22.3,0.0,LE
753,18.9,23.7,1.0,TK
754,20.2,10.0,0.0,P
755,42.3,22.4,0.0,RW
756,41.4,17.4,1.0,RE
757,37.3,14.9,1.0,RE
758,44.5,15.1,1.0,RE
759,45.0,13.9,0.0,RB
760,32.1,6.7,1.0,RB
761,18.7,11.0,1.0,LB
763,1.6999999999999993,10.0,1.0,LC
764,17.2,12.1,1.0,LB
765,28.2,23.7,0.0,TK
766,9.2,15.4,1.0,LE
767,31.4,17.4,0.0,RE
768,41.8,13.4,1.0,RB
769,2.0,6.1,1.0,LC
770,35.4,13.4,1.0,RB
772,45.7,15.6,0.0,RW
773,0.8999999999999986,2.1,0.0,LC
774,34.7,15.6,0.0,RE
775,40.8,18.3,0.0,RE
777,24.8,21.4,1.0,TK
778,13.6,11.5,0.0,LB
779,24.9,7.7,0.0,P
780,23.8,18.0,1.0,P
781,43.2,15.9,1.0,RE
782,14.4,11.5,1.0,LB
783,6.699999999999999,18.3,0.0,LW
784,41.1,4.1,1.0,RB
785,39.1,13.4,0.0,RB
786,12.6,15.6,0.0,LE
787,39.1,0.3,0.0,RB
788,21.8,17.0,1.0,P
789,18.7,3.8,0.0,LB
791,32.6,14.9,0.0,RE
792,30.0,5.6,0.0,P
793,10.7,1.6,1.0,LB
795,22.1,15.9,0.0,P
797,7.600000000000001,1.1,0.0,LB
798,27.5,0.7,1.0,P
799,40.1,20.8,0.0,RE
801,25.6,10.5,1.0,P
802,6.300000000000001,11.0,0.0,LB
803,25.2,1.1,1.0,P
804,11.2,12.4,1.0,LB
806,25.1,18.3,1.0,P
807,5.0,20.2,0.0,LW
808,6.699999999999999,0.7,0.0,LB
809,34.2,23.7,0.0,RE
810,31.6,14.9,0.0,RE
811,47.8,2.1,0.0,RC
812,19.2,12.6,0.0,P
814,10.2,6.2,0.0,LB
816,7.399999999999999,18.3,0.0,LE
817,43.6,4.1,0.0,RB
818,48.0,7.0,1.0,RC
819,39.0,6.7,0.0,RB
820,9.0,21.3,0.0,LW
822,41.8,0.7,0.0,RB
823,43.4,10.1,0.0,RB
824,40.5,12.1,0.0,RB
825,45.7,13.4,0.0,RB
826,32.3,7.5,0.0,RB
827,41.4,1.6,0.0,RB
828,5.600000000000001,15.4,0.0,LE
830,24.8,27.8,0.0,T
831,26.2,17.4,0.0,P
832,37.7,11.5,0.0,RB
833,44.9,15.4,1.0,RE
835,27.5,25.2,0.0,TK
836,47.3,11.0,0.0,RC
837,16.9,23.7,0.0,LE
838,18.4,14.9,1.0,LE
840,48.3,2.6,0.0,RC
841,27.8,19.0,0.0,P
842,46.8,12.0,0.0,RB
843,25.0,19.0,1.0,P
844,26.0,24.4,1.0,TK
845,15.4,23.7,0.0,LE
846,46.7,9.7,0.0,RB
847,16.6,16.4,0.0,LE
848,32.9,14.9,1.0,RE
849,44.9,15.9,1.0,RE
850,6.699999999999999,19.5,0.0,LW
852,39.8,7.5,0.0,RB
854,15.4,15.4,0.0,LE
855,6.300000000000001,16.4,0.0,LE
856,46.0,12.4,0.0,RB
858,29.5,3.1,1.0,P
859,40.3,18.8,0.0,RE
860,25.0,25.2,1.0,TK
861,15.4,15.6,0.0,LE
862,27.5,12.9,1.0,P
863,13.8,15.6,0.0,LE
864,7.699999999999999,1.6,0.0,LB
865,5.899999999999999,16.9,1.0,LE
866,36.0,12.1,1.0,RB
867,25.6,25.4,1.0,TK
869,20.7,26.2,0.0,TK
870,19.2,27.7,1.0,T
872,15.8,11.1,0.0,LB
873,20.7,20.0,1.0,TK
874,31.6,24.7,0.0,TK
875,9.2,24.9,0.0,LW
876,26.2,6.1,1.0,P
877,32.4,16.5,0.0,RE
878,20.2,26.7,0.0,TK
879,48.2,0.7,0.0,RC
881,35.5,17.8,0.0,RE
883,47.0,12.9,0.0,RC
884,12.0,21.9,0.0,LE
885,42.3,0.8,0.0,RB
888,26.0,2.6,0.0,P
889,4.899999999999999,15.9,0.0,LE
890,7.399999999999999,18.5,0.0,LE
891,23.1,1.6,0.0,P
893,15.1,28.2,0.0,LW
894,43.4,16.4,0.0,RE
895,31.1,11.5,0.0,RB
896,21.2,1.1,0.0,P
897,23.4,25.2,0.0,TK
898,16.4,8.0,0.0,LB
899,26.4,0.7,1.0,P
900,27.0,2.3,0.0,P
902,31.1,1.1,0.0,RB
904,34.2,17.5,1.0,RE
907,33.6,18.0,0.0,RE
908,34.1,17.5,0.0,RE
909,13.0,9.7,0.0,LB
910,33.2,24.2,1.0,RE
911,16.9,23.2,1.0,LE
912,28.5,26.9,0.0,TK
913,13.1,18.3,0.0,LE
915,34.2,4.1,0.0,RB
916,32.1,13.6,1.0,RB
917,40.1,10.0,1.0,RB
918,45.2,3.6,0.0,RB
919,34.9,14.9,0.0,RE
920,13.8,15.1,0.0,LE
921,31.0,10.0,1.0,P
923,18.7,18.8,0.0,LE
924,43.9,15.9,0.0,RE
925,34.7,22.3,1.0,RE
926,7.699999999999999,16.4,0.0,LE
927,12.3,14.6,1.0,LE
929,28.0,20.0,1.0,TK
930,2.5,16.9,0.0,LW
931,34.4,17.4,0.0,RE
932,15.6,4.6,0.0,LB
933,19.2,17.8,0.0,P
935,17.7,12.0,0.0,LB
936,49.1,2.1,0.0,RC
937,46.0,14.4,0.0,RE
938,36.2,23.7,1.0,RE
939,43.9,15.9,0.0,RE
940,11.5,23.4,0.0,LW
942,23.0,24.7,0.0,TK
943,13.1,10.1,0.0,LB
944,38.3,21.0,0.0,RE
945,12.8,11.0,0.0,LB
946,23.4,9.0,0.0,P
947,45.2,14.9,0.0,RE
949,14.4,11.1,1.0,LB
950,43.2,16.0,0.0,RE
952,36.4,13.9,0.0,RB
953,31.9,8.5,0.0,RB
955,39.1,11.0,0.0,RB
956,13.0,5.6,0.0,LB
957,42.4,17.4,0.0,RE
958,16.1,7.7,1.0,LB
960,21.3,16.0,0.0,P
961,9.4,3.6,0.0,LB
963,10.8,6.1,0.0,LB
964,27.4,19.0,1.0,P
965,38.3,3.1,0.0,RB
966,28.7,19.0,0.0,P
969,33.2,8.0,1.0,RB
970,11.5,21.3,0.0,LE
971,25.1,3.1,0.0,P
972,47.3,6.5,0.0,RC
973,12.6,21.0,0.0,LE
974,37.0,0.4,1.0,RB
976,25.0,2.1,0.0,P
977,10.5,3.1,1.0,LB
978,37.7,20.8,0.0,RE
980,33.9,18.8,1.0,RE
981,37.7,20.3,0.0,RE
982,41.4,0.8,0.0,RB
985,3.5,3.6,0.0,LB
986,45.7,15.1,0.0,RE
987,22.0,5.6,1.0,P
988,15.8,14.4,0.0,LE
989,26.4,1.6,1.0,P
991,32.6,18.8,0.0,RE
992,25.9,3.6,0.0,P
993,6.300000000000001,18.3,0.0,LW
994,24.9,1.1,1.0,P
996,11.8,6.1,0.0,LB
997,8.7,12.0,0.0,LB
998,24.1,4.7,1.0,P
1001,7.399999999999999,3.3,1.0,LB
1002,35.9,13.1,1.0,RB
1003,2.0,5.7,1.0,LC
1004,42.3,8.0,1.0,RB
1005,16.1,22.4,0.0,LE
1008,38.5,11.0,1.0,RB
1009,26.7,7.5,0.0,P
1010,10.5,21.4,0.0,LE
1011,43.2,16.0,0.0,RE
1012,24.9,5.1,0.0,P
1013,44.4,14.4,1.0,RE
1014,48.3,2.1,0.0,RC
1015,6.899999999999999,18.8,0.0,LW
1017,44.7,15.1,0.0,RE
1018,40.9,15.4,1.0,RE
1019,20.5,16.5,1.0,P
1020,15.3,22.4,1.0,LE
1022,9.7,19.5,1.0,LE
1023,13.3,20.8,0.0,LE
1024,5.899999999999999,19.8,0.0,LW
1025,48.0,3.1,0.0,RC
1026,9.9,19.3,0.0,LE
1027,38.3,20.8,0.0,RE
1029,35.7,5.1,1.0,RB
1031,20.7,2.3,0.0,P
1033,38.0,17.5,0.0,RE
1034,45.2,18.5,0.0,RW
1035,25.0,20.3,0.0,TK
1037,21.2,1.3,0.0,P
1039,39.1,11.0,0.0,RB
1043,40.0,20.8,1.0,RE
1045,27.2,0.7,1.0,P
1047,39.1,10.0,0.0,RB
1049,28.0,0.2,1.0,P
1050,2.5,8.2,0.0,LC
1051,47.5,11.0,1.0,RC
1052,13.0,13.6,0.0,LB
1054,23.4,0.3,1.0,P
1055,31.1,15.4,1.0,RE
1056,19.1,8.5,0.0,P
1057,32.6,18.0,1.0,RE
1058,9.0,20.3,0.0,LE
1059,24.9,3.3,0.0,P
1061,42.7,17.4,0.0,RE
